,鳔室数目,下咽齿I1,下咽齿I2,下咽齿I3,背鳍软棘,臀鳍软棘,胸鳍软棘,腹鳍软棘,体长/体高(高),体长/头长(高),头长/吻长(高),头长/眼径(高),头长/眼间隔(高),尾柄长/尾柄高,侧线前,侧线上(高),侧线下(高),下侧线,背鳍前鳞(高),围尾柄鳞(高),上颌须,吻须(对),鱼量百分比
青鱼,2,4.5,0.01,0.01,7,8,16,8,3.9,3.8,4.6,5.6,2.4,0.95,42,6,4,43,17,17,0.01,0.01,12.2668657
草鱼,2,2,4.5,0.01,7,8,16.5,8,4.3,3.8,4,7.1,2,0.85,39,7,5,41,18,18,0.01,0.01,13.97354563
鲢,2,4,0.01,0.01,7,13,17,8,3.3,3.7,4.4,7.2,2.4,1.43,108,32,19,120,75,43,0.01,0.01,13.68495252
鳙,2,4,0.01,0.01,7,12.5,17,8,3.5,3,3.4,6.8,2.1,1.25,98,27,17,106,66,45,0.01,0.01,12.27350002
广东鲂,3,2,4,5,7,26,14.5,8,2.9,4.9,3.6,4.2,2.8,1.03,52,11,7,56,25,16,0.01,0.01,1.119542232
鳊,3,2,4,5,7,31,19,8,3,4.9,4.2,4.1,2.9,0.65,53,12,9,55,52,17,0.01,0.01,1.037442468
鲴属,2,2,4,6,7,9,14.5,8,4.2,5.1,3.6,3.8,3,1.32,58,11,7,61,28,20,0.01,0.01,5.43185305
赤眼鳟,2,2,4,4,7,7.5,14,8,4.2,4.6,4.2,4.8,2.5,1.15,43,7,3,45,17,16,1,1,6.219679065
鲮鱼,2,2,4,5,12,5,15,8,3.83,5.18,3.57,4,3,1.22,37,7,5,39,14,20,1,1,1.658581084
鲤,2,1,1,3,18.5,5,15.5,8,3.1,3.7,2.8,5,2.6,0.78,31,7,6,34,12,16,1,1,0.165858108
鳡,2,2,3,4,10,11,16.5,10.5,6.2,4.2,3.4,8.4,3.8,1.55,107,19,6,112,56,32,0.01,0.01,7.02409089
鳤,2,2,4,4,9,9.5,16,9.5,6.6,5,3.6,6,3.3,1.85,67,10,4,70,31,22,0.01,0.01,4.627441224
鳜,1,0.01,0.01,0.01,13.5,8.5,15,5,3.5,2.7,4.1,6.9,10.8,1.35,85,9,20,98,20,40,0.01,0.01,4.892814197
壮体沙鳅,2,1,0.01,0.01,8.5,5,12.5,7,4.5,3.6,2.5,5.9,4.8,0.8,120,20,25,140,40,40,1,2,3.980594601
参条,2,2,4,4,7,12,13,7,5.1,4.6,3.7,3.7,3.9,1.22,49,9,3,55,24,20,0.01,0.01,3.648878385
银鮈,2,3,5,0.01,7,6,15,7.5,5.2,4.6,3.1,3.6,3.1,2.3,38,4.5,2.5,41,12,12,1,0.01,2.819587843
飘鱼,2,2,4,4.5,7,23.5,13,8,4.7,4.8,3.6,3.6,3.7,1.64,62,10,2,67,20,15,0.01,0.01,1.865903719
银鱼,0.01,0.01,0.01,0.01,11,27.5,11,7,14.6,4.6,4.6,12,4.1,1.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.686901356
鰕虎,0.01,0.01,0.01,0.01,8.5,7.5,18.5,5,5,3.1,3.1,5.1,7.5,2.25,29,5,6,31,13,12,0.01,0.01,0.621967906
